"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.36331028643143e-30,0.798722446746179,0.263,0.163,1.16614455557879e-25,"T_cells","S100A11"
6.18961501613185e-30,1.30955699606712,0.259,0.164,1.34580799295755e-25,"T_cells","EVI2A"
9.75289263306183e-30,0.769862849317585,0.693,0.699,2.12057144520663e-25,"T_cells","TPI1"
1.32286484586784e-29,1.100966981873,0.396,0.305,2.87630503437044e-25,"T_cells","ITPKB"
1.54402961692326e-29,0.45989228675629,0.837,0.912,3.35718359607625e-25,"T_cells","CALM2"
1.65007671398019e-29,0.989962008821217,0.371,0.28,3.58776179920712e-25,"T_cells","BIN2"
4.271996108931e-29,0.991560303481464,0.522,0.478,9.28860113964867e-25,"T_cells","GSPT1"
5.79116810076211e-29,1.32858246204506,0.254,0.163,1.25917368014871e-24,"T_cells","PLSCR3"
7.28168644318801e-29,1.4347686619407,0.342,0.252,1.58325708334237e-24,"T_cells","IER5L"
1.08045232078062e-28,0.303192109503045,0.835,0.932,2.3492274810733e-24,"T_cells","TOMM7"
1.18642384426903e-28,0.852472125909792,0.524,0.48,2.57964136459415e-24,"T_cells","TECR"
2.50609756583088e-28,1.37455978871344,0.367,0.284,5.44900793738609e-24,"T_cells","HIPK1"
3.19803326143705e-28,1.01982383683177,0.316,0.222,6.95348372034258e-24,"T_cells","SH3YL1"
6.15024219422372e-28,0.726314066347746,0.684,0.676,1.33724716029006e-23,"T_cells","CCNH"
1.81462417397849e-27,0.313235455984174,0.975,0.998,3.94553734148143e-23,"T_cells","H3F3B"
1.86424905886152e-27,0.543686651497806,0.921,0.984,4.05343672868261e-23,"T_cells","UBB"
2.69980344439953e-27,0.4330376459025,0.772,0.838,5.87018262915791e-23,"T_cells","SNHG6"
4.17990444471492e-27,1.01460814668544,0.474,0.411,9.08836623414366e-23,"T_cells","BIRC2"
2.55008841759138e-26,1.17710297916326,0.274,0.189,5.54465724636893e-22,"T_cells","TMEM238"
2.58474878926395e-26,1.19082381856332,0.327,0.242,5.62001929249661e-22,"T_cells","GRAMD1A"
4.66786244883309e-26,0.332134481640201,0.821,0.935,1.01493333224978e-21,"T_cells","RPS4Y1"
1.02547600134257e-25,1.13923355999605,0.408,0.335,2.22969246971914e-21,"T_cells","CDK17"
1.44539892745033e-25,0.876682249311579,0.565,0.532,3.14273088795525e-21,"T_cells","SNHG1"
2.27851448979126e-25,0.9075379269167,0.566,0.542,4.95417405515313e-21,"T_cells","IVNS1ABP"
9.23878175178657e-25,0.404189254771533,0.287,0.451,2.00878831629095e-20,"T_cells","TNF"
9.88673953440847e-25,0.638334269168763,0.752,0.784,2.14967377696643e-20,"T_cells","EIF4A3"
1.6772576013711e-24,1.14135317464029,0.443,0.383,3.64686120266118e-20,"T_cells","CBX4"
1.71648115981376e-24,1.21846807629636,0.432,0.369,3.73214498578306e-20,"T_cells","NXF1"
2.19411481785713e-24,1.14884901963756,0.272,0.188,4.77066384846677e-20,"T_cells","ARRB2"
3.16219433671585e-24,0.723583324797458,0.464,0.402,6.87555914632127e-20,"T_cells","CALM3"
3.45941795732133e-24,0.667522247374956,0.626,0.619,7.52181246460377e-20,"T_cells","CCDC85B"
4.89406303461663e-24,0.34163747541577,0.821,0.908,1.06411612561669e-19,"T_cells","SNHG29"
7.17526871085716e-24,1.26667730909527,0.287,0.207,1.56011867580167e-19,"T_cells","RALGDS"
1.09881573042213e-23,0.790953339693687,0.693,0.713,2.38915504265685e-19,"T_cells","GLS"
1.14576487295493e-23,0.62137401688508,0.63,0.617,2.49123656326591e-19,"T_cells","SEPTIN1"
1.57006221308091e-23,0.670625015419222,0.559,0.528,3.41378626990183e-19,"T_cells","ATP5IF1"
2.74240551784896e-23,1.01918527926938,0.448,0.39,5.962812317459e-19,"T_cells","NAP1L4"
3.11337022560264e-23,0.540443782696813,0.773,0.798,6.76940088152783e-19,"T_cells","DDX24"
3.24433201009606e-23,1.14863695009648,0.389,0.32,7.05415108955185e-19,"T_cells","HIVEP2"
3.70225440068635e-23,0.490807356809335,0.713,0.67,8.04981174341234e-19,"T_cells","ZNF331"
3.82727291647041e-23,0.942010181226875,0.378,0.308,8.32163950228162e-19,"T_cells","MCUB"
5.39815830797917e-23,0.666354541325979,0.702,0.711,1.17372156090391e-18,"T_cells","IFRD1"
5.40399578788967e-23,1.07510962953994,0.303,0.224,1.17499080416085e-18,"T_cells","RNF11"
6.31265543128539e-23,0.376447427832059,0.924,0.916,1.37256067042438e-18,"T_cells","FOS"
8.19284265717054e-23,0.999219953083972,0.333,0.254,1.78136977894859e-18,"T_cells","CTSC"
1.57393073772944e-22,1.46137202099288,0.251,0.175,3.42219760304513e-18,"T_cells","GLCCI1"
1.64737318411266e-22,0.858093959942253,0.3,0.211,3.58188351421615e-18,"T_cells","IFI6"
1.71501942022022e-22,0.407120562142175,0.922,0.955,3.72896672538482e-18,"T_cells","SAT1"
5.5494249513584e-22,1.34999933615349,0.308,0.235,1.20661146717386e-17,"T_cells","CRYBG1"
7.65926486606053e-22,0.847997796010567,0.467,0.415,1.66535395982754e-17,"T_cells","RNF149"
1.41513547864531e-21,1.06563387662636,0.316,0.239,3.07692907121849e-17,"T_cells","PAG1"
2.42418015319234e-21,0.451230684404466,0.84,0.897,5.27089490708611e-17,"T_cells","SRSF5"
3.21148373505226e-21,1.1896770677248,0.32,0.246,6.98272908512413e-17,"T_cells","MAML2"
9.84754810497768e-21,1.44728486615062,0.261,0.191,2.1411523844653e-16,"T_cells","ABCC1"
1.56496799138711e-20,0.655782536107434,0.697,0.706,3.40270990367299e-16,"T_cells","ACAP1"
1.97764486061743e-20,0.663340968953787,0.702,0.725,4.29999322044049e-16,"T_cells","DDX3Y"
2.18299150154814e-20,0.944275022121727,0.26,0.181,4.74647842181612e-16,"T_cells","SELENOM"
6.5110171676348e-20,0.683698775137019,0.768,0.8,1.41569046275883e-15,"T_cells","ARIH1"
8.5841140554694e-20,1.09404222284529,0.351,0.277,1.86644391908071e-15,"T_cells","SAMSN1"
1.50570405219412e-19,0.360953598335142,0.84,0.908,3.27385232068568e-15,"T_cells","EIF4G2"
1.83046303624526e-19,0.763841328033768,0.528,0.505,3.97997577970806e-15,"T_cells","TSPYL1"
2.01696427686611e-19,1.21995349305598,0.281,0.212,4.38548542718997e-15,"T_cells","SPTY2D1"
3.36465989656494e-19,0.910945572422539,0.391,0.334,7.31578001310116e-15,"T_cells","DYNLL2"
6.63565475295896e-19,1.16160342567612,0.292,0.224,1.44279041293587e-14,"T_cells","SLC7A6"
6.6392491235219e-19,0.561506013087984,0.766,0.813,1.44357193692737e-14,"T_cells","H2AFZ"
6.7484046341214e-19,0.893490656752367,0.392,0.336,1.46730561959702e-14,"T_cells","RBL2"
7.60299399538267e-19,0.440092657906249,0.804,0.865,1.65311898441605e-14,"T_cells","HSPA5"
1.02009525318541e-18,0.500820387345655,0.813,0.847,2.21799310900103e-14,"T_cells","CD44"
2.29442823431053e-18,0.658392747099324,0.7,0.743,4.9887753098614e-14,"T_cells","SAP18"
4.78625884582278e-18,0.744533650352413,0.527,0.494,1.04067626084725e-13,"T_cells","TBC1D10C"
6.2380560399659e-18,1.40206027269354,0.274,0.214,1.35634052476979e-13,"T_cells","CORO1B"
7.76761531683319e-18,0.936857132704681,0.417,0.366,1.68891259833904e-13,"T_cells","FAM117A"
9.05103861236518e-18,0.673531660316778,0.597,0.6,1.96796732548656e-13,"T_cells","AMD1"
1.83162692350524e-17,0.263627963776065,0.786,0.871,3.98250641977745e-13,"T_cells","ATP5MG"
2.25014258365167e-17,1.33302006015989,0.291,0.228,4.89248501963383e-13,"T_cells","ERCC5"
